region	ring	station	sector	layer	subsector	roll	nstrips_geom	nstrips_noise	eff_mean	eff_min	eff_max	n_dead	eta	phi	rawId
0	-1	1	8	2	1	1	84	84	0.958027	0.958027	0.958027	0	-0.440905	-2.54435	637569937
0	-1	1	8	2	1	3	84	84	0.966078	0.966078	0.966078	0	-0.673615	-2.54435	637635473
0	-1	1	9	1	1	1	90	90	0.953896	0.953896	0.953896	0	-0.475088	-2.00375	637568017
0	-1	1	9	1	1	3	90	90	0.968033	0.968033	0.968033	0	-0.72172	-2.00375	637633553
0	-1	1	9	2	1	1	84	84	0.934372	0.934372	0.934372	0	-0.440905	-2.02076	637570065
0	-1	1	9	2	1	3	84	84	0.956149	0.956149	0.956149	0	-0.673615	-2.02076	637635601
0	-1	1	10	1	1	1	90	90	0.949659	0.949659	0.949659	0	-0.475088	-1.48015	637568145
0	-1	1	10	1	1	3	90	90	0.959367	0.959367	0.959367	0	-0.72172	-1.48015	637633681
0	-1	1	10	2	1	1	84	84	0.950445	0.950445	0.950445	0	-0.440905	-1.49716	637570193
0	-1	1	10	2	1	3	84	84	0.975884	0.975884	0.975884	0	-0.673615	-1.49716	637635729
0	-1	1	11	1	1	1	90	90	0.954709	0.954709	0.954709	0	-0.475088	-0.956554	637568273
0	-1	1	11	1	1	3	90	90	0.957888	0.957888	0.957888	0	-0.72172	-0.956554	637633809
0	-1	1	11	2	1	1	84	84	0.953838	0.953838	0.953838	0	-0.440905	-0.973558	637570321
0	-1	1	11	2	1	3	84	84	0.961992	0.961992	0.961992	0	-0.673615	-0.973558	637635857
0	-1	1	12	1	1	1	90	90	0.834841	0.834841	0.834841	0	-0.475088	-0.432955	637568401
0	-1	1	12	1	1	3	90	90	0.880555	0.880555	0.880555	0	-0.72172	-0.432955	637633937
0	-1	1	12	2	1	1	84	84	0.959023	0.959023	0.959023	0	-0.440905	-0.449959	637570449
0	-1	1	12	2	1	3	84	84	0.946154	0.946154	0.946154	0	-0.673615	-0.449959	637635985
0	-1	2	1	1	1	1	90	90	0.964607	0.964607	0.964607	0	-0.365045	-0.0363495	637567025
0	-1	2	1	1	1	2	90	90	0.948031	0.948031	0.948031	0	-0.509826	-0.0363495	637599793
0	-1	2	1	1	1	3	90	90	0.983736	0.983736	0.983736	0	-0.652317	-0.0363495	637632561
0	-1	2	1	2	1	1	84	84	0.91664	0.91664	0.91664	0	-0.377274	-0.0352701	637569073
0	-1	2	1	2	1	3	84	84	0.973152	0.973152	0.973152	0	-0.582227	-0.0352701	637634609
0	-1	2	2	1	1	1	90	90	0.959209	0.959209	0.959209	0	-0.365045	0.487249	637567153
0	-1	2	2	1	1	2	90	90	0.97488	0.97488	0.97488	0	-0.509826	0.487249	637599921
0	-1	2	2	1	1	3	90	90	0.978314	0.978314	0.978314	0	-0.652317	0.487249	637632689
0	-1	2	2	2	1	1	84	84	0.949441	0.949441	0.949441	0	-0.377273	0.488329	637569201
0	-1	2	2	2	1	3	84	84	0.923559	0.923559	0.923559	0	-0.582227	0.488329	637634737
